id,category,topic,difficulty,source,created_at,question,answer
33,it_support,phishing,easy,seed://it_support/wifi,2024-12-15,Quick question: How do I add a new user with the admin role?,Create a webhook in Settings → Developers. Provide a secure endpoint and verify signatures on receipt.
34,hr_policy,scheduling,easy,seed://data_engineering_llm/jsonl,2025-06-18,Could you help me with this—Why am I getting a 500 error when using the API?,Imports typically complete within 48 hours. Large files or validation errors can take longer.
35,hr_policy,pii,medium,seed://data_engineering_llm/tokenization,2025-07-18,Sorry if this is basic—Where can I find my API key in PaySphere?,Check status.paysphere.com for real‑time uptime and incident history. Subscribe for alerts.
36,data_engineering_llm,chunking,easy,seed://product_faq/dashboards,2024-11-12,Sorry if this is basic—Why was my account locked for suspicious activity?,Imports typically complete within 5 business days. Large files or validation errors can take longer.
37,security_compliance,sso,medium,seed://it_support/printer,2025-06-12,"In simple terms, How do I import a Excel file into the admin panel?",Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
38,developer,api,easy,seed://data_engineering_llm/rag,2025-09-23,Where can I find my API key in ShopNest?,Create a webhook in Settings → Developers. Provide a secure endpoint and verify signatures on receipt.
39,data_engineering_llm,filters,easy,seed://it_support/printer,2025-02-24,Could you help me with this—How do I add a new user with the owner role?,"Yes. By default, data is hosted in Canada. Contact support to request a region change."
40,data_engineering_llm,dlp,easy,seed://it_support/sso,2025-02-06,"FYI, How can I export my data as PDF?","For the web app, the default rate limit is 60 requests/minute per IP. Burst limits may apply; see our docs for details."
41,developer,webhooks,medium,seed://product_faq/scheduling,2025-09-02,New to TaskFlow: Why am I getting a 401 unauthorized when using the API?,"Use the date picker to select **this quarter** or create a custom range, then refresh your report."
42,security_compliance,sdk,medium,seed://hr_policy/benefits,2025-03-30,New to PaySphere: Can I schedule exports to Salesforce?,Go to Workspace → Members → **Invite** and assign the **admin** role. The user must accept via email.
43,it_support,wifi,easy,seed://it_support/passwords,2025-01-10,Quick question: Does ShopNest integrate with Salesforce?,Create a webhook in Settings → Developers. Provide a secure endpoint and verify signatures on receipt.
44,data_engineering_llm,phishing,easy,seed://security_compliance/dlp,2025-04-24,Quick question: How do I resolve duplicate records after import?,Imports typically complete within 72 hours. Large files or validation errors can take longer.
45,product_faq,mfa,easy,seed://it_support/passwords,2024-11-15,"FYI, How do I enable two‑factor authentication via SMS?",Open Billing → Plans and click **Change plan**. You can switch between Nonprofit tiers at any time; proration is applied automatically.
46,developer,validation,easy,seed://security_compliance/secrets,2024-11-27,How do I set up webhooks in ShopNest?,We lock accounts after repeated failed logins or unusual activity. Reset your password and contact support if needed.
47,data_engineering_llm,vpn,medium,seed://hr_policy/benefits,2025-02-23,"FYI, How do I add a new user with the owner role?","Under Settings → Authentication, choose **Microsoft login** and upload your IdP metadata. Test in a sandbox first."
48,it_support,workspaces,easy,seed://developer/auth,2025-06-09,Quick question: How long does it take to process imports?,"From Settings → Account, click **Delete account**. We queue deletion for 24 hours; backups purge afterward."
49,data_engineering_llm,leave,medium,seed://hr_policy/benefits,2024-11-29,New to AcmeCloud: Is my data stored in the Canada region?,Enable 2FA in Settings → Security. Choose **SMS** and follow the verification steps.
50,hr_policy,sso,medium,seed://hr_policy/holidays,2024-12-16,"In simple terms, How do I cancel my subscription to DataWave?",Go to Workspace → Members → **Invite** and assign the **viewer** role. The user must accept via email.
51,it_support,encryption,easy,seed://product_faq/filters,2025-05-16,"In simple terms, How do I roll back to a previous version of my data?",You can cancel any time under Billing → Subscription. Your access remains until the end of the current term.
52,data_engineering_llm,tokenization,easy,seed://hr_policy/leave,2025-06-25,How do I cancel my subscription to TaskFlow?,Run **Merge Duplicates** under Data Tools or reimport with a unique key to avoid duplicates.
53,security_compliance,tokenization,medium,seed://it_support/sso,2025-10-07,"In simple terms, Where can I see system status and uptime for TaskFlow?",This is usually caused by a 500 error. Check the status page and your request logs; retry with exponential backoff.
54,data_engineering_llm,benefits,advanced,seed://security_compliance/mfa,2025-06-20,"FYI, How long does it take to process imports?",Open Reports → Export and choose **JSON**. Exports are emailed and available in your download history.
55,data_engineering_llm,workspaces,easy,seed://product_faq/exports,2025-08-20,New to ShopNest: How do I enable two‑factor authentication via SMS?,"Yes. By default, data is hosted in UK. Contact support to request a region change."
56,hr_policy,reimbursement,medium,seed://security_compliance/mfa,2025-06-30,How can I export my data as CSV?,"Use Import → Upload and select **Parquet**. Map fields, run a preview, and start the import; invalid rows are reported."
57,security_compliance,fewshot,easy,seed://data_engineering_llm/tokenization,2025-02-24,"In simple terms, How do I cancel my subscription to TripPilot?",Run **Merge Duplicates** under Data Tools or reimport with a unique key to avoid duplicates.
58,it_support,ratelimits,easy,seed://developer/ratelimits,2025-07-20,Sorry if this is basic—How can I filter reports for the this quarter?,Check status.taskflow.com for real‑time uptime and incident history. Subscribe for alerts.
59,data_engineering_llm,pii,medium,seed://security_compliance/dlp,2025-06-20,Could you help me with this—Why am I getting a 500 error when using the web app?,"Go to Settings → Security and choose **Reset Password**. If you sign in via Google login, reset through your identity provider instead."
60,it_support,wifi,medium,seed://product_faq/exports,2025-04-30,Could you help me with this—What are the PaySphere rate limits for the API?,This is usually caused by a rate limit. Check the status page and your request logs; retry with exponential backoff.
61,developer,phishing,medium,seed://it_support/vpn,2025-02-06,Quick question: Can I change my BrightMail Enterprise plan?,Yes. Visit Integrations and connect **Google Sheets**. You may need admin permissions in both systems.
62,developer,auth,medium,seed://product_faq/dashboards,2025-02-13,"FYI, Why am I getting a 401 unauthorized when using the mobile app?",Check status.datawave.com for real‑time uptime and incident history. Subscribe for alerts.
63,it_support,reimbursement,advanced,seed://developer/auth,2025-09-05,"FYI, How do I add a new user with the billing admin role?","From Settings → Account, click **Delete account**. We queue deletion for 72 hours; backups purge afterward."
64,product_faq,reimbursement,easy,seed://developer/webhooks,2024-11-26,How do I add a new user with the admin role?,Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
65,product_faq,exports,easy,seed://security_compliance/phishing,2025-07-27,Quick question: What are the HealthSync rate limits for the mobile app?,Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
66,product_faq,leave,easy,seed://it_support/device,2025-09-13,New to BrightMail: How long does it take to process imports?,"For the admin panel, the default rate limit is 60 requests/minute per IP. Burst limits may apply; see our docs for details."
67,it_support,fewshot,medium,seed://security_compliance/encryption,2024-12-15,Quick question: Can I change my DataWave Starter plan?,This is usually caused by a 401 unauthorized. Check the status page and your request logs; retry with exponential backoff.
68,it_support,payroll,easy,seed://it_support/sso,2025-06-25,Could you help me with this—How can I delete my HealthSync account and data?,"From Settings → Account, click **Delete account**. We queue deletion for 7 days; backups purge afterward."
69,security_compliance,pii,easy,seed://data_engineering_llm/chunking,2025-05-27,New to DataWave: Is my data stored in the Canada region?,"The current max upload size is **25 MB** per file. For larger data, use the bulk import API."
70,product_faq,pagination,easy,seed://product_faq/dashboards,2025-09-17,New to TripPilot: Where can I see system status and uptime for TripPilot?,Run **Merge Duplicates** under Data Tools or reimport with a unique key to avoid duplicates.
71,it_support,payroll,medium,seed://product_faq/exports,2025-09-13,New to HealthSync: Can I schedule exports to HubSpot?,Open Billing → Plans and click **Change plan**. You can switch between Business tiers at any time; proration is applied automatically.
72,product_faq,sdk,medium,seed://security_compliance/secrets,2025-02-01,How do I cancel my subscription to BrightMail?,"For the web app, the default rate limit is 60 requests/minute per IP. Burst limits may apply; see our docs for details."
73,developer,passwords,medium,seed://data_engineering_llm/fewshot,2025-02-13,Could you help me with this—How long does it take to process imports?,"From Settings → Account, click **Delete account**. We queue deletion for 72 hours; backups purge afterward."
74,data_engineering_llm,auth,medium,seed://developer/webhooks,2025-07-14,Sorry if this is basic—Where can I see system status and uptime for TripPilot?,Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
75,hr_policy,sdk,easy,seed://security_compliance/pii,2025-05-04,Quick question: How do I add a new user with the viewer role?,Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
76,it_support,printer,easy,seed://developer/webhooks,2025-04-17,Could you help me with this—How do I enable two‑factor authentication via push notification?,Open Billing → Plans and click **Change plan**. You can switch between Education tiers at any time; proration is applied automatically.
77,developer,sso,medium,seed://developer/api,2025-06-29,Could you help me with this—What is the max upload size for NDJSON files?,"Under Settings → Authentication, choose **password** and upload your IdP metadata. Test in a sandbox first."
78,data_engineering_llm,scheduling,medium,seed://data_engineering_llm/validation,2025-03-16,"FYI, How do I cancel my subscription to SecureID?","Yes. By default, data is hosted in APAC. Contact support to request a region change."
79,security_compliance,holidays,easy,seed://data_engineering_llm/jsonl,2025-09-23,"FYI, How do I enable two‑factor authentication via push notification?",Create a webhook in Settings → Developers. Provide a secure endpoint and verify signatures on receipt.
80,developer,tokenization,medium,seed://developer/pagination,2025-01-11,Why am I getting a 500 error when using the admin panel?,"For the API, the default rate limit is 60 requests/minute per IP. Burst limits may apply; see our docs for details."
81,data_engineering_llm,vpn,medium,seed://developer/api,2025-09-07,Is my data stored in the Canada region?,Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
82,data_engineering_llm,filters,easy,seed://data_engineering_llm/chunking,2025-04-16,"FYI, How do I set up SSO with Google login?",Schedule recurring exports in Reports → Schedules and target **Google Sheets** via connector.
83,hr_policy,holidays,medium,seed://security_compliance/encryption,2024-11-07,"FYI, Does ShopNest integrate with Google Sheets?","Yes. By default, data is hosted in US. Contact support to request a region change."
84,hr_policy,scheduling,medium,seed://product_faq/exports,2025-07-04,Sorry if this is basic—Can I change my AcmeCloud Business plan?,We lock accounts after repeated failed logins or unusual activity. Reset your password and contact support if needed.
85,it_support,mfa,easy,seed://it_support/wifi,2025-08-09,New to SecureID: How do I enable two‑factor authentication via Authenticator app?,Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
86,it_support,tokenization,easy,seed://product_faq/filters,2025-09-13,What is the max upload size for Parquet files?,Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
87,hr_policy,wifi,easy,seed://security_compliance/dlp,2025-10-10,Quick question: How do I update my billing address for TripPilot?,Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
88,product_faq,tokenization,easy,seed://security_compliance/dlp,2025-10-18,Sorry if this is basic—How do I reset my TaskFlow password?,Imports typically complete within 7 days. Large files or validation errors can take longer.
89,developer,pto,advanced,seed://it_support/printer,2025-06-24,Sorry if this is basic—How do I cancel my subscription to AcmeCloud?,Schedule recurring exports in Reports → Schedules and target **Google Sheets** via connector.
90,developer,benefits,easy,seed://product_faq/roles,2025-07-22,"FYI, How do I cancel my subscription to BrightMail?","From Settings → Account, click **Delete account**. We queue deletion for 7 days; backups purge afterward."
91,product_faq,validation,advanced,seed://product_faq/workspaces,2024-10-30,Quick question: How can I filter reports for the last 7 days?,Schedule recurring exports in Reports → Schedules and target **Zapier** via connector.
92,product_faq,leave,advanced,seed://security_compliance/pii,2024-11-05,How do I add a new user with the admin role?,Yes. Visit Integrations and connect **HubSpot**. You may need admin permissions in both systems.
93,developer,printer,medium,seed://it_support/wifi,2025-09-25,"FYI, Can I schedule exports to Make?","Use Import → Upload and select **CSV**. Map fields, run a preview, and start the import; invalid rows are reported."
94,product_faq,pagination,medium,seed://data_engineering_llm/chunking,2025-02-09,Quick question: How do I resolve duplicate records after import?,Enable 2FA in Settings → Security. Choose **Authenticator app** and follow the verification steps.
95,it_support,dashboards,easy,seed://security_compliance/pii,2024-12-01,Could you help me with this—Is my data stored in the APAC region?,Check status.secureid.com for real‑time uptime and incident history. Subscribe for alerts.
96,hr_policy,wifi,easy,seed://it_support/printer,2025-06-03,"In simple terms, How can I delete my ShopNest account and data?",Open Reports → Export and choose **JSON**. Exports are emailed and available in your download history.
97,security_compliance,holidays,easy,seed://data_engineering_llm/chunking,2025-04-13,What is the max upload size for JSON files?,"For the web app, the default rate limit is 60 requests/minute per IP. Burst limits may apply; see our docs for details."
98,security_compliance,dashboards,easy,seed://developer/auth,2024-12-03,"In simple terms, Does SecureID integrate with Google Sheets?",Enable 2FA in Settings → Security. Choose **phone call** and follow the verification steps.
99,it_support,passwords,easy,seed://security_compliance/phishing,2025-02-11,New to SecureID: How can I filter reports for the last 7 days?,Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
100,it_support,device,easy,seed://security_compliance/encryption,2025-02-15,How can I delete my AcmeCloud account and data?,Go to Workspace → Members → **Invite** and assign the **member** role. The user must accept via email.
101,data_engineering_llm,workspaces,easy,seed://data_engineering_llm/chunking,2025-03-21,Could you help me with this—How do I add a new user with the member role?,"Under Settings → Authentication, choose **Google login** and upload your IdP metadata. Test in a sandbox first."
102,security_compliance,dashboards,medium,seed://developer/pagination,2025-10-04,Does TripPilot integrate with Salesforce?,Go to Workspace → Members → **Invite** and assign the **member** role. The user must accept via email.
103,developer,fewshot,medium,seed://hr_policy/benefits,2025-07-11,Quick question: Why am I getting a duplicate records when using the API?,Go to Workspace → Members → **Invite** and assign the **admin** role. The user must accept via email.
104,hr_policy,validation,medium,seed://developer/ratelimits,2025-01-27,New to DataWave: How do I add a new user with the billing admin role?,Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
105,it_support,workspaces,advanced,seed://data_engineering_llm/chunking,2025-10-25,"In simple terms, How do I import a Parquet file into the API?",Open Billing → Plans and click **Change plan**. You can switch between Nonprofit tiers at any time; proration is applied automatically.
106,product_faq,pagination,easy,seed://data_engineering_llm/rag,2024-11-20,Does BrightMail integrate with HubSpot?,Yes. Visit Integrations and connect **HubSpot**. You may need admin permissions in both systems.
107,it_support,pii,medium,seed://it_support/sso,2025-08-18,"FYI, Why was my account locked for suspicious activity?",Open Billing → Address and update your details. Changes apply to future invoices only.
108,data_engineering_llm,rag,medium,seed://hr_policy/payroll,2025-06-04,"FYI, Can I change my SecureID Business plan?",Run **Merge Duplicates** under Data Tools or reimport with a unique key to avoid duplicates.
109,it_support,pagination,easy,seed://developer/webhooks,2025-01-04,How do I import a CSV file into the dashboard?,Enable 2FA in Settings → Security. Choose **phone call** and follow the verification steps.
110,product_faq,leave,easy,seed://product_faq/workspaces,2025-09-19,Could you help me with this—How can I export my data as JSON?,"Use Import → Upload and select **Parquet**. Map fields, run a preview, and start the import; invalid rows are reported."
111,product_faq,fewshot,medium,seed://security_compliance/secrets,2024-11-18,New to TaskFlow: What is the max upload size for Excel files?,"From Settings → Account, click **Delete account**. We queue deletion for 24 hours; backups purge afterward."
112,product_faq,jsonl,advanced,seed://developer/ratelimits,2025-09-18,Sorry if this is basic—How do I resolve duplicate records after import?,Go to Workspace → Members → **Invite** and assign the **viewer** role. The user must accept via email.
113,data_engineering_llm,wifi,advanced,seed://developer/auth,2024-12-25,New to PaySphere: How do I set up webhooks in PaySphere?,"For the admin panel, the default rate limit is 60 requests/minute per IP. Burst limits may apply; see our docs for details."
114,developer,dlp,medium,seed://it_support/vpn,2025-05-29,Sorry if this is basic—Why am I getting a rate limit when using the dashboard?,"Yes. By default, data is hosted in APAC. Contact support to request a region change."
115,security_compliance,jsonl,advanced,seed://product_faq/exports,2025-07-26,New to DataWave: Does DataWave integrate with Make?,"Use the date picker to select **last 30 days** or create a custom range, then refresh your report."
116,developer,workspaces,medium,seed://developer/auth,2025-07-02,Sorry if this is basic—Why was my account locked for suspicious activity?,Run **Merge Duplicates** under Data Tools or reimport with a unique key to avoid duplicates.
117,developer,pii,easy,seed://developer/pagination,2025-06-02,New to ShopNest: How do I add a new user with the member role?,"Yes. By default, data is hosted in UK. Contact support to request a region change."
118,it_support,phishing,medium,seed://product_faq/exports,2025-09-17,"FYI, Where can I find my API key in HealthSync?",This is usually caused by a 401 unauthorized. Check the status page and your request logs; retry with exponential backoff.
119,it_support,vpn,medium,seed://security_compliance/pii,2025-09-13,Could you help me with this—Can I schedule exports to Make?,"Use Import → Upload and select **JSON**. Map fields, run a preview, and start the import; invalid rows are reported."
120,data_engineering_llm,passwords,medium,seed://hr_policy/payroll,2024-12-15,Quick question: How do I set up SSO with password?,Open Reports → Export and choose **PDF**. Exports are emailed and available in your download history.
121,security_compliance,pagination,medium,seed://it_support/device,2024-11-03,Could you help me with this—What is the max upload size for Excel files?,"From Settings → Account, click **Delete account**. We queue deletion for 7 days; backups purge afterward."
122,security_compliance,scheduling,easy,seed://security_compliance/mfa,2025-07-15,Could you help me with this—How do I enable two‑factor authentication via SMS?,"For the dashboard, the default rate limit is 60 requests/minute per IP. Burst limits may apply; see our docs for details."
123,product_faq,phishing,easy,seed://hr_policy/holidays,2025-03-26,Could you help me with this—What is the max upload size for Excel files?,This is usually caused by a duplicate records. Check the status page and your request logs; retry with exponential backoff.
124,hr_policy,encryption,easy,seed://security_compliance/pii,2025-02-20,New to ShopNest: How do I set up webhooks in ShopNest?,Enable 2FA in Settings → Security. Choose **Authenticator app** and follow the verification steps.
125,hr_policy,vpn,easy,seed://it_support/wifi,2025-03-04,Could you help me with this—Where can I see system status and uptime for EduTrack?,Enable 2FA in Settings → Security. Choose **SMS** and follow the verification steps.
126,developer,chunking,medium,seed://product_faq/filters,2025-02-02,Quick question: How do I roll back to a previous version of my data?,Check status.taskflow.com for real‑time uptime and incident history. Subscribe for alerts.
127,developer,phishing,easy,seed://product_faq/scheduling,2025-09-14,"FYI, What are the AcmeCloud rate limits for the mobile app?",This is usually caused by a duplicate records. Check the status page and your request logs; retry with exponential backoff.
128,developer,jsonl,medium,seed://product_faq/exports,2025-07-18,Sorry if this is basic—How do I reset my AcmeCloud password?,Open Billing → Address and update your details. Changes apply to future invoices only.
129,security_compliance,scheduling,advanced,seed://data_engineering_llm/rag,2025-07-19,How can I export my data as PDF?,"Go to Settings → Security and choose **Reset Password**. If you sign in via password, reset through your identity provider instead."
130,developer,pto,medium,seed://security_compliance/dlp,2024-12-30,Quick question: How can I export my data as CSV?,"Yes. By default, data is hosted in EU. Contact support to request a region change."
131,data_engineering_llm,mfa,medium,seed://developer/api,2025-06-22,How do I cancel my subscription to PaySphere?,"Go to Settings → Security and choose **Reset Password**. If you sign in via Google login, reset through your identity provider instead."
132,developer,tokenization,easy,seed://it_support/vpn,2025-09-22,"FYI, Is my data stored in the APAC region?","Use Import → Upload and select **Excel**. Map fields, run a preview, and start the import; invalid rows are reported."
133,it_support,fewshot,easy,seed://it_support/printer,2025-08-09,New to HealthSync: Why am I getting a rate limit when using the mobile app?,Schedule recurring exports in Reports → Schedules and target **Slack** via connector.
134,hr_policy,tokenization,easy,seed://it_support/passwords,2025-08-17,Sorry if this is basic—How can I filter reports for the last 30 days?,Check status.datawave.com for real‑time uptime and incident history. Subscribe for alerts.
135,product_faq,phishing,medium,seed://security_compliance/pii,2024-11-26,New to BrightMail: How do I enable two‑factor authentication via phone call?,Schedule recurring exports in Reports → Schedules and target **Salesforce** via connector.
136,it_support,rag,easy,seed://security_compliance/secrets,2025-01-05,"FYI, Why am I getting a 500 error when using the dashboard?",Enable 2FA in Settings → Security. Choose **SMS** and follow the verification steps.
137,developer,scheduling,medium,seed://it_support/vpn,2025-07-28,"FYI, How do I roll back to a previous version of my data?",Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
138,security_compliance,phishing,easy,seed://developer/auth,2024-10-31,Is my data stored in the UK region?,"Yes. By default, data is hosted in Canada. Contact support to request a region change."
139,data_engineering_llm,dlp,medium,seed://hr_policy/pto,2025-02-03,"FYI, How do I roll back to a previous version of my data?",Go to Workspace → Members → **Invite** and assign the **admin** role. The user must accept via email.
140,hr_policy,payroll,medium,seed://data_engineering_llm/chunking,2024-12-13,New to ShopNest: How long does it take to process imports?,You can cancel any time under Billing → Subscription. Your access remains until the end of the current term.
141,it_support,ratelimits,easy,seed://developer/sdk,2025-05-22,Could you help me with this—How long does it take to process imports?,Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
142,it_support,ratelimits,medium,seed://data_engineering_llm/validation,2025-05-07,"FYI, What are the SecureID rate limits for the admin panel?","Go to Settings → Security and choose **Reset Password**. If you sign in via Google login, reset through your identity provider instead."
143,hr_policy,pagination,easy,seed://product_faq/exports,2025-05-25,"FYI, How do I reset my HealthSync password?",Open Billing → Plans and click **Change plan**. You can switch between Pro tiers at any time; proration is applied automatically.
144,it_support,leave,easy,seed://developer/ratelimits,2025-03-12,New to AcmeCloud: How do I resolve duplicate records after import?,Yes. Visit Integrations and connect **Slack**. You may need admin permissions in both systems.
145,it_support,chunking,medium,seed://security_compliance/secrets,2025-05-17,Sorry if this is basic—How do I update my billing address for AcmeCloud?,"The current max upload size is **10 MB** per file. For larger data, use the bulk import API."
146,data_engineering_llm,printer,medium,seed://developer/api,2025-02-15,New to EduTrack: How can I filter reports for the last quarter?,"Go to Settings → Security and choose **Reset Password**. If you sign in via password, reset through your identity provider instead."
147,product_faq,webhooks,advanced,seed://it_support/device,2025-07-05,New to TripPilot: What is the max upload size for NDJSON files?,You can cancel any time under Billing → Subscription. Your access remains until the end of the current term.
148,data_engineering_llm,holidays,easy,seed://security_compliance/mfa,2025-02-16,Could you help me with this—How can I filter reports for the last 7 days?,Navigate to Settings → Developers → **API Keys**. Create a key and store it securely; rotate it regularly.
149,developer,chunking,easy,seed://data_engineering_llm/jsonl,2025-03-27,Quick question: Where can I find my API key in BrightMail?,"For the dashboard, the default rate limit is 60 requests/minute per IP. Burst limits may apply; see our docs for details."
150,security_compliance,passwords,easy,seed://developer/ratelimits,2025-08-31,Sorry if this is basic—How do I cancel my subscription to SecureID?,You can cancel any time under Billing → Subscription. Your access remains until the end of the current term.
151,developer,benefits,easy,seed://it_support/passwords,2025-10-05,"In simple terms, How do I set up webhooks in TripPilot?",Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
152,developer,secrets,easy,seed://it_support/passwords,2025-02-01,"FYI, Does SecureID integrate with Salesforce?",You can cancel any time under Billing → Subscription. Your access remains until the end of the current term.
